,iob_tagged_data,intent,sentence,hindi,Tagged_Sentences
10,american:B-airline_name flights:O from:O chicago:B-fromloc.city_name to:O los:B-toloc.city_name angeles:I-toloc.city_name morning:B-depart_time.period_of_day,atis_flight,american flights from chicago to los angeles morning,सुबह शिकागो से लॉस एंजिल्स के लिए अमेरिकी उड़ानें,सुबह:B-depart_time.period_of_day शिकागो:B-toloc.city_name से:O लॉस:B-toloc.city_name एंजिल्स:I-toloc.city_name के:O लिए:O अमेरिकी:B-airline_name उड़ानें:O
11,what:O types:O of:O ground:O transportation:O are:O there:O to:O san:B-toloc.airport_name francisco:I-toloc.airport_name airport:I-toloc.airport_name,atis_ground_service,what types of ground transportation are there to san francisco airport,सैन फ्रांसिस्को हवाई अड्डे के लिए किस प्रकार का जमीनी परिवहन मौजूद है?,सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name हवाई:O अड्डे:O के:O लिए:O किस:O प्रकार:O का:O जमीनी:O परिवहन:O मौजूद:O है?:O
12,in:O the:O next:B-depart_date.date_relative two:O days:O i:O want:O to:O fly:O from:O nashville:B-fromloc.city_name to:O san:B-toloc.city_name jose:I-toloc.city_name or:B-or to:O tacoma:B-toloc.city_name,atis_flight,in the next two days i want to fly from nashville to san jose or to tacoma,अगले दो दिनों में मैं नैशविले से सैन जोस या टैकोमा के लिए उड़ान भरना चाहता हूं,अगले:I-return_date.date_relative दो:O दिनों:O में:O मैं:O नैशविले:O से:O सैन:B-toloc.city_name जोस:I-toloc.city_name या:O टैकोमा:O के:O लिए:O उड़ान:O भरना:O चाहता:O हूं:O
13,does:O continental:B-airline_name airlines:I-airline_name fly:O from:O denver:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,does continental airlines fly from denver to san francisco,क्या कॉन्टिनेंटल एयरलाइंस डेनवर से सैन फ्रांसिस्को तक उड़ान भरती है,क्या:O कॉन्टिनेंटल:O एयरलाइंस:I-airline_name डेनवर:B-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name तक:O उड़ान:O भरती:O है:O
14,chicago:B-fromloc.city_name to:O milwaukee:B-toloc.city_name,atis_flight,chicago to milwaukee,शिकागो से मिल्वौकी,शिकागो:B-toloc.city_name से:O मिल्वौकी:O
15,how:O many:O flights:O does:O twa:B-airline_code have:O in:O business:B-class_type class:I-class_type,atis_quantity,how many flights does twa have in business class,बिजनेस क्लास में TWA की कितनी उड़ानें हैं?,बिजनेस:O क्लास:O में:O TWA:O की:O कितनी:O उड़ानें:O हैं?:O
16,show:O me:O the:O flights:O from:O dallas:B-fromloc.city_name to:O baltimore:B-toloc.city_name in:O first:B-class_type class:I-class_type,atis_flight,show me the flights from dallas to baltimore in first class,मुझे प्रथम श्रेणी में डलास से बाल्टीमोर तक की उड़ानें दिखाओ,मुझे:O प्रथम:O श्रेणी:O में:O डलास:B-stoploc.city_name से:O बाल्टीमोर:B-fromloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
17,i'd:O like:O to:O find:O the:O least:B-cost_relative expensive:I-cost_relative one:B-round_trip way:I-round_trip fare:O from:O boston:B-fromloc.city_name to:O philadelphia:B-toloc.city_name,atis_airfare,i'd like to find the least expensive one way fare from boston to philadelphia,मैं बोस्टन से फ़िलाडेल्फ़िया तक का एक तरफ़ा किराया सबसे कम महँगा खोजना चाहूँगा,मैं:O बोस्टन:B-fromloc.city_name से:O फ़िलाडेल्फ़िया:B-fromloc.city_name तक:O का:O एक:O तरफ़ा:O किराया:I-transport_type सबसे:O कम:B-cost_relative महँगा:I-cost_relative खोजना:O चाहूँगा:O
18,how:O many:O booking:O classes:O are:O there:O,atis_quantity,how many booking classes are there,कितनी बुकिंग क्लास हैं,कितनी:O बुकिंग:O क्लास:O हैं:O
19,what:O are:O the:O flights:O from:O tacoma:B-fromloc.city_name to:O san:B-toloc.city_name jose:I-toloc.city_name on:O wednesday:B-depart_date.day_name the:O nineteenth:B-depart_date.day_number,atis_flight,what are the flights from tacoma to san jose on wednesday the nineteenth,उन्नीसवीं बुधवार को टैकोमा से सैन जोस के लिए कौन सी उड़ानें हैं?,उन्नीसवीं:O बुधवार:B-depart_date.day_name को:O टैकोमा:O से:O सैन:B-toloc.city_name जोस:I-toloc.city_name के:O लिए:O कौन:O सी:B-fare_basis_code उड़ानें:O हैं?:O
20,what:O flights:O leave:O pittsburgh:B-fromloc.city_name july:B-depart_date.month_name fifth:B-depart_date.day_number after:B-depart_time.time_relative 7:B-depart_time.time pm:I-depart_time.time and:O arrive:O in:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,कौन सी उड़ानें 5 जुलाई को शाम 7 बजे के बाद पिट्सबर्ग से प्रस्थान करती हैं और सैन फ्रांसिस्को पहुंचती हैं,कौन:O सी:B-fare_basis_code उड़ानें:O 5:B-arrive_time.time जुलाई:B-arrive_date.month_name को:O शाम:B-depart_time.period_of_day 7:B-depart_time.time बजे:I-depart_time.time के:O बाद:B-depart_time.time_relative पिट्सबर्ग:B-fromloc.city_name से:O प्रस्थान:O करती:O हैं:O और:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name पहुंचती:O हैं:O
21,please:O list:O all:O the:O arriving:O and:O departing:O flights:O from:O general:B-fromloc.airport_name mitchell:I-fromloc.airport_name international:I-fromloc.airport_name,atis_flight,please list all the arriving and departing flights from general mitchell international,कृपया जनरल मिशेल इंटरनेशनल से आने वाली और प्रस्थान करने वाली सभी उड़ानों की सूची बनाएं,कृपया:O जनरल:O मिशेल:I-fromloc.airport_name इंटरनेशनल:O से:O आने:O वाली:O और:O प्रस्थान:O करने:O वाली:O सभी:O उड़ानों:O की:O सूची:O बनाएं:O
22,what:O time:O zone:O is:O denver:B-city_name in:O,atis_city,what time zone is denver in,डेनवर किस समय क्षेत्र में है,डेनवर:B-toloc.city_name किस:O समय:O क्षेत्र:O में:O है:O
23,show:O me:O ground:O transportation:O in:O boston:B-city_name and:O in:O baltimore:B-city_name,atis_ground_service,show me ground transportation in boston and in baltimore,मुझे बोस्टन और बाल्टीमोर में जमीनी परिवहन दिखाओ,मुझे:O बोस्टन:B-fromloc.city_name और:O बाल्टीमोर:B-fromloc.city_name में:O जमीनी:O परिवहन:O दिखाओ:O
24,i:O want:O to:O find:O the:O first:B-flight_mod flight:O from:O baltimore:B-fromloc.city_name to:O boston:B-toloc.city_name that:O serves:O a:O meal:B-meal,atis_flight,i want to find the first flight from baltimore to boston that serves a meal,मैं बाल्टीमोर से बोस्टन के लिए पहली उड़ान ढूँढना चाहता हूँ जो भोजन परोसती हो,मैं:O बाल्टीमोर:B-fromloc.city_name से:O बोस्टन:B-fromloc.city_name के:O लिए:O पहली:O उड़ान:O ढूँढना:O चाहता:O हूँ:O जो:O भोजन:B-meal परोसती:O हो:O
25,from:O seattle:B-fromloc.city_name to:O salt:B-toloc.city_name lake:I-toloc.city_name city:I-toloc.city_name,atis_flight,from seattle to salt lake city,सिएटल से साल्ट लेक सिटी तक,सिएटल:B-toloc.city_name से:O साल्ट:O लेक:O सिटी:O तक:O
26,can:O you:O show:O me:O the:O flights:O from:O dallas:B-fromloc.city_name to:O baltimore:B-toloc.city_name with:O economy:B-economy fares:O,atis_flight,can you show me the flights from dallas to baltimore with economy fares,क्या आप मुझे किफायती किराये के साथ डलास से बाल्टीमोर तक की उड़ानें दिखा सकते हैं,क्या:O आप:O मुझे:O किफायती:O किराये:B-transport_type के:O साथ:O डलास:B-stoploc.city_name से:O बाल्टीमोर:B-fromloc.city_name तक:O की:O उड़ानें:O दिखा:O सकते:O हैं:O
27,what:O flights:O leave:O from:O phoenix:B-fromloc.city_name,atis_flight,what flights leave from phoenix,फ़ीनिक्स से कौन सी उड़ानें रवाना होती हैं,फ़ीनिक्स:O से:O कौन:O सी:B-fare_basis_code उड़ानें:O रवाना:O होती:O हैं:O
28,what:O are:O the:O flights:O from:O pittsburgh:B-fromloc.city_name to:O denver:B-toloc.city_name,atis_flight,what are the flights from pittsburgh to denver,पिट्सबर्ग से डेनवर तक कौन सी उड़ानें हैं?,पिट्सबर्ग:B-fromloc.city_name से:O डेनवर:B-toloc.city_name तक:O कौन:O सी:B-fare_basis_code उड़ानें:O हैं?:O
29,show:O flights:O leaving:O miami:B-fromloc.city_name to:O cleveland:B-toloc.city_name on:O us:B-airline_name air:I-airline_name that:O leave:O after:B-depart_time.time_relative noon:B-depart_time.time,atis_flight,show flights leaving miami to cleveland on us air that leave after noon,हमारे हवाई जहाज़ पर मियामी से क्लीवलैंड जाने वाली उड़ानें दिखाएँ जो दोपहर के बाद रवाना होती हैं,हमारे:O हवाई:O जहाज़:O पर:O मियामी:B-fromloc.city_name से:O क्लीवलैंड:B-toloc.city_name जाने:O वाली:O उड़ानें:O दिखाएँ:O जो:O दोपहर:B-depart_time.period_of_day के:O बाद:B-depart_time.time_relative रवाना:O होती:O हैं:O
30,please:O give:O me:O a:O list:O of:O all:O the:O flights:O between:O dallas:B-fromloc.city_name and:O baltimore:B-toloc.city_name and:O their:O cost:O,atis_flight;atis_airfare,please give me a list of all the flights between dallas and baltimore and their cost,कृपया मुझे डलास और बाल्टीमोर के बीच सभी उड़ानों और उनकी लागत की एक सूची दें,कृपया:O मुझे:O डलास:B-stoploc.city_name और:O बाल्टीमोर:B-fromloc.city_name के:O बीच:O सभी:O उड़ानों:O और:O उनकी:O लागत:O की:O एक:O सूची:O दें:O
31,what:O does:O fare:O code:O y:B-fare_basis_code mean:O,atis_abbreviation,what does fare code y mean,किराया कोड y का क्या मतलब है,किराया:I-transport_type कोड:O y:O का:O क्या:O मतलब:O है:O
32,ground:O transportation:O in:O phoenix:B-city_name,atis_ground_service,ground transportation in phoenix,फीनिक्स में जमीनी परिवहन,फीनिक्स:O में:O जमीनी:O परिवहन:O
33,okay:O could:O you:O tell:O me:O what:O flight:O leaves:O dallas:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name by:O united:B-airline_name airline:I-airline_name,atis_flight,okay could you tell me what flight leaves dallas to san francisco by united airline,"ठीक है, क्या आप मुझे बता सकते हैं कि यूनाइटेड एयरलाइन द्वारा डलास से सैन फ्रांसिस्को के लिए कौन सी उड़ान रवाना होती है","ठीक:O है,:O क्या:O आप:O मुझे:O बता:O सकते:O हैं:O कि:O यूनाइटेड:B-airline_name एयरलाइन:I-airline_name द्वारा:B-arrive_time.time_relative डलास:B-stoploc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O कौन:O सी:B-fare_basis_code उड़ान:O रवाना:O होती:O है:O"
34,show:O me:O all:O flights:O from:O denver:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name next:B-depart_date.date_relative wednesday:B-depart_date.day_name which:O leave:O after:B-depart_time.time_relative noon:B-depart_time.time,atis_flight,show me all flights from denver to san francisco next wednesday which leave after noon,मुझे अगले बुधवार को डेनवर से सैन फ्रांसिस्को के लिए सभी उड़ानें दिखाओ जो दोपहर के बाद रवाना होती हैं,मुझे:O अगले:I-return_date.date_relative बुधवार:B-depart_date.day_name को:O डेनवर:B-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O सभी:O उड़ानें:O दिखाओ:O जो:O दोपहर:B-depart_time.period_of_day के:O बाद:B-depart_time.time_relative रवाना:O होती:O हैं:O
35,is:O there:O a:O flight:O from:O atlanta:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name that:O stops:O over:O in:O denver:B-stoploc.city_name,atis_flight,is there a flight from atlanta to san francisco that stops over in denver,क्या अटलांटा से सैन फ्रांसिस्को के लिए कोई उड़ान है जो डेनवर में रुकती है,क्या:O अटलांटा:B-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O कोई:O उड़ान:O है:O जो:O डेनवर:B-toloc.city_name में:O रुकती:O है:O
36,show:O departures:O and:O arrivals:O in:O atlanta:B-city_name for:O american:B-airline_name airlines:I-airline_name,atis_flight,show departures and arrivals in atlanta for american airlines,अमेरिकी एयरलाइंस के लिए अटलांटा में प्रस्थान और आगमन दिखाएं,अमेरिकी:B-airline_name एयरलाइंस:I-airline_name के:O लिए:O अटलांटा:B-toloc.city_name में:O प्रस्थान:O और:O आगमन:O दिखाएं:O
37,find:O me:O the:O earliest:B-flight_mod flight:O from:O boston:B-fromloc.city_name to:O atlanta:B-toloc.city_name and:O the:O latest:B-flight_mod return:O from:O atlanta:B-fromloc.city_name to:O boston:B-toloc.city_name within:O the:O same:B-depart_date.date_relative day:O,atis_flight,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,मुझे बोस्टन से अटलांटा के लिए सबसे पुरानी उड़ान और एक ही दिन में अटलांटा से बोस्टन के लिए नवीनतम वापसी का पता लगाएं,मुझे:O बोस्टन:B-fromloc.city_name से:O अटलांटा:B-toloc.city_name के:O लिए:O सबसे:O पुरानी:O उड़ान:O और:O एक:O ही:O दिन:O में:O अटलांटा:B-toloc.city_name से:O बोस्टन:B-fromloc.city_name के:O लिए:O नवीनतम:B-flight_mod वापसी:O का:O पता:O लगाएं:O
38,i:O want:O to:O fly:O from:O milwaukee:B-fromloc.city_name to:O orlando:B-toloc.city_name on:O either:O wednesday:B-depart_date.day_name evening:B-depart_time.period_of_day or:B-or thursday:B-depart_date.day_name morning:B-depart_time.period_of_day,atis_flight,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,मैं बुधवार शाम या गुरुवार सुबह मिल्वौकी से ऑरलैंडो के लिए उड़ान भरना चाहता हूं,मैं:O बुधवार:B-depart_date.day_name शाम:B-depart_time.period_of_day या:O गुरुवार:B-depart_date.day_name सुबह:B-depart_time.period_of_day मिल्वौकी:O से:O ऑरलैंडो:B-fromloc.city_name के:O लिए:O उड़ान:O भरना:O चाहता:O हूं:O
39,i:O want:O a:O flight:O originating:O in:O denver:B-fromloc.city_name going:O to:O pittsburgh:B-toloc.city_name and:O atlanta:B-toloc.city_name in:O either:O order:O,atis_flight,i want a flight originating in denver going to pittsburgh and atlanta in either order,मैं डेनवर से शुरू होने वाली एक उड़ान चाहता हूं जो किसी भी क्रम में पिट्सबर्ग और अटलांटा जाए,मैं:O डेनवर:B-toloc.city_name से:O शुरू:O होने:O वाली:O एक:O उड़ान:O चाहता:O हूं:O जो:O किसी:O भी:O क्रम:O में:O पिट्सबर्ग:B-fromloc.city_name और:O अटलांटा:B-toloc.city_name जाए:O
40,show:O me:O the:O flights:O from:O dallas:B-fromloc.city_name to:O atlanta:B-toloc.city_name,atis_flight,show me the flights from dallas to atlanta,मुझे डलास से अटलांटा तक की उड़ानें दिखाओ,मुझे:O डलास:B-stoploc.city_name से:O अटलांटा:B-toloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
41,what:O flights:O are:O available:O from:O denver:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,what flights are available from denver to san francisco,डेनवर से सैन फ्रांसिस्को के लिए कौन सी उड़ानें उपलब्ध हैं,डेनवर:B-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O कौन:O सी:B-fare_basis_code उड़ानें:O उपलब्ध:O हैं:O
42,what:O is:O the:O cost:O of:O a:O flight:O from:O boston:B-fromloc.city_name to:O denver:B-toloc.city_name,atis_airfare,what is the cost of a flight from boston to denver,बोस्टन से डेनवर तक की उड़ान की लागत क्या है?,बोस्टन:B-fromloc.city_name से:O डेनवर:B-toloc.city_name तक:O की:O उड़ान:O की:O लागत:O क्या:O है?:O
43,show:O me:O the:O earliest:B-flight_mod flight:O from:O san:B-fromloc.city_name jose:I-fromloc.city_name to:O pittsburgh:B-toloc.city_name that:O serves:O a:O snack:B-meal_description,atis_flight,show me the earliest flight from san jose to pittsburgh that serves a snack,मुझे सैन जोस से पिट्सबर्ग तक की सबसे शुरुआती उड़ान दिखाओ जो नाश्ता परोसती है,मुझे:O सैन:B-toloc.city_name जोस:I-toloc.city_name से:O पिट्सबर्ग:B-fromloc.city_name तक:O की:O सबसे:O शुरुआती:O उड़ान:O दिखाओ:O जो:O नाश्ता:B-meal_description परोसती:O है:O
44,could:O you:O please:O give:O me:O the:O round:B-round_trip trip:I-round_trip fare:O from:O denver:B-fromloc.city_name to:O atlanta:B-toloc.city_name,atis_airfare,could you please give me the round trip fare from denver to atlanta,क्या आप कृपया मुझे डेनवर से अटलांटा तक आने-जाने का किराया बता सकते हैं,क्या:O आप:O कृपया:O मुझे:O डेनवर:B-toloc.city_name से:O अटलांटा:B-toloc.city_name तक:O आने-जाने:O का:O किराया:I-transport_type बता:O सकते:O हैं:O
45,do:O you:O have:O a:O flight:O leaving:O boston:B-fromloc.city_name at:O 645:B-depart_time.time am:I-depart_time.time going:O to:O washington:B-toloc.city_name,atis_flight,do you have a flight leaving boston at 645 am going to washington,क्या आपके पास सुबह 645 बजे बोस्टन से वाशिंगटन जाने वाली उड़ान है?,क्या:O आपके:O पास:O सुबह:B-depart_time.period_of_day 645:B-depart_time.time बजे:I-depart_time.time बोस्टन:B-fromloc.city_name से:O वाशिंगटन:B-toloc.city_name जाने:O वाली:O उड़ान:O है?:O
46,what:O are:O all:O the:O flights:O into:O atlanta's:B-toloc.city_name airport:O,atis_flight,what are all the flights into atlanta's airport,अटलांटा के हवाई अड्डे के लिए सभी उड़ानें क्या हैं?,अटलांटा:B-toloc.city_name के:O हवाई:O अड्डे:O के:O लिए:O सभी:O उड़ानें:O क्या:O हैं?:O
47,show:O me:O the:O flights:O from:O atlanta:B-fromloc.city_name to:O denver:B-toloc.city_name on:O friday:B-depart_date.day_name,atis_flight,show me the flights from atlanta to denver on friday,मुझे शुक्रवार को अटलांटा से डेनवर तक की उड़ानें दिखाओ,मुझे:O शुक्रवार:B-depart_date.day_name को:O अटलांटा:B-toloc.city_name से:O डेनवर:B-toloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
48,what:O does:O fare:O code:O qx:B-fare_basis_code mean:O,atis_abbreviation,what does fare code qx mean,किराया कोड qx का क्या मतलब है,किराया:I-transport_type कोड:O qx:O का:O क्या:O मतलब:O है:O
49,i:O would:O like:O information:O on:O twa:B-airline_code flights:O from:O washington:B-fromloc.city_name to:O philadelphia:B-toloc.city_name,atis_flight,i would like information on twa flights from washington to philadelphia,मुझे वाशिंगटन से फिलाडेल्फिया तक की दो उड़ानों के बारे में जानकारी चाहिए,मुझे:O वाशिंगटन:B-toloc.city_name से:O फिलाडेल्फिया:O तक:O की:O दो:O उड़ानों:O के:O बारे:O में:O जानकारी:O चाहिए:O
50,which:O airlines:O fly:O from:O boston:B-fromloc.city_name to:O washington:B-toloc.city_name dc:B-toloc.state_code but:O stopover:O in:O some:O other:O city:O,atis_airline,which airlines fly from boston to washington dc but stopover in some other city,कौन सी एयरलाइंस बोस्टन से वाशिंगटन डीसी तक उड़ान भरती है लेकिन रुकती किसी अन्य शहर में है,कौन:O सी:B-fare_basis_code एयरलाइंस:I-airline_name बोस्टन:B-fromloc.city_name से:O वाशिंगटन:B-toloc.city_name डीसी:B-toloc.state_code तक:O उड़ान:O भरती:O है:O लेकिन:O रुकती:O किसी:O अन्य:O शहर:O में:O है:O
51,ground:O transportation:O in:O oakland:B-city_name,atis_ground_service,ground transportation in oakland,ओकलैंड में जमीनी परिवहन,ओकलैंड:B-toloc.city_name में:O जमीनी:O परिवहन:O
52,list:O all:O afternoon:B-depart_time.period_of_day flights:O on:O united:B-airline_name airlines:I-airline_name from:O san:B-fromloc.city_name francisco:I-fromloc.city_name to:O denver:B-toloc.city_name,atis_flight,list all afternoon flights on united airlines from san francisco to denver,सैन फ्रांसिस्को से डेनवर तक यूनाइटेड एयरलाइंस की सभी दोपहर की उड़ानों की सूची बनाएं,सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O डेनवर:B-toloc.city_name तक:O यूनाइटेड:B-airline_name एयरलाइंस:I-airline_name की:O सभी:O दोपहर:B-depart_time.period_of_day की:O उड़ानों:O की:O सूची:O बनाएं:O
53,show:O me:O all:O flights:O from:O san:B-fromloc.city_name francisco:I-fromloc.city_name to:O pittsburgh:B-toloc.city_name on:O a:O monday:B-depart_date.day_name,atis_flight,show me all flights from san francisco to pittsburgh on a monday,मुझे सोमवार को सैन फ्रांसिस्को से पिट्सबर्ग तक की सभी उड़ानें दिखाएँ,मुझे:O सोमवार:B-depart_date.day_name को:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O पिट्सबर्ग:B-fromloc.city_name तक:O की:O सभी:O उड़ानें:O दिखाएँ:O
