BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS ठीक है, क्या आप मुझे बता सकते हैं कि यूनाइटेड एयरलाइन द्वारा डलास से सैन फ्रांसिस्को के लिए कौन सी उड़ान रवाना होती है EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_flight
BOS मुझे अगले बुधवार को डेनवर से सैन फ्रांसिस्को के लिए सभी उड़ानें दिखाओ जो दोपहर के बाद रवाना होती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time atis_flight
BOS क्या अटलांटा से सैन फ्रांसिस्को के लिए कोई उड़ान है जो डेनवर में रुकती है EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS अमेरिकी एयरलाइंस के लिए अटलांटा में प्रस्थान और आगमन दिखाएं EOS\t	O O O O O B-city_name O B-airline_name I-airline_name atis_flight
BOS मुझे बोस्टन से अटलांटा के लिए सबसे पुरानी उड़ान और एक ही दिन में अटलांटा से बोस्टन के लिए नवीनतम वापसी का पता लगाएं EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O atis_flight
BOS मैं बुधवार शाम या गुरुवार सुबह मिल्वौकी से ऑरलैंडो के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS मैं डेनवर से शुरू होने वाली एक उड़ान चाहता हूं जो किसी भी क्रम में पिट्सबर्ग और अटलांटा जाए EOS\t	O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-toloc.city_name O O O atis_flight
BOS मुझे डलास से अटलांटा तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS डेनवर से सैन फ्रांसिस्को के लिए कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS बोस्टन से डेनवर तक की उड़ान की लागत क्या है? EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे सैन जोस से पिट्सबर्ग तक की सबसे शुरुआती उड़ान दिखाओ जो नाश्ता परोसती है EOS\t	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal_description atis_flight
BOS क्या आप कृपया मुझे डेनवर से अटलांटा तक आने-जाने का किराया बता सकते हैं EOS\t	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS क्या आपके पास सुबह 645 बजे बोस्टन से वाशिंगटन जाने वाली उड़ान है? EOS\t	O O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O B-toloc.city_name atis_flight
BOS अटलांटा के हवाई अड्डे के लिए सभी उड़ानें क्या हैं? EOS\t	O O O O O O B-toloc.city_name O atis_flight
BOS मुझे शुक्रवार को अटलांटा से डेनवर तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS किराया कोड qx का क्या मतलब है EOS\t	O O O O B-fare_basis_code O atis_abbreviation
BOS मुझे वाशिंगटन से फिलाडेल्फिया तक की दो उड़ानों के बारे में जानकारी चाहिए EOS\t	O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कौन सी एयरलाइंस बोस्टन से वाशिंगटन डीसी तक उड़ान भरती है लेकिन रुकती किसी अन्य शहर में है EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O atis_airline
BOS ओकलैंड में जमीनी परिवहन EOS\t	O O O B-city_name atis_ground_service
BOS सैन फ्रांसिस्को से डेनवर तक यूनाइटेड एयरलाइंस की सभी दोपहर की उड़ानों की सूची बनाएं EOS\t	O O B-depart_time.period_of_day O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे सोमवार को सैन फ्रांसिस्को से पिट्सबर्ग तक की सभी उड़ानें दिखाएँ EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name atis_flight
BOS बोस्टन से डेनवर के लिए प्रस्थान करने वाली नवीनतम उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ठीक है, कृपया मैं जानना चाहूंगा कि क्लीवलैंड से डलास की उड़ान में किस प्रकार के विमान का उपयोग किया जाता है EOS\t	O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_aircraft
BOS कृपया मुझे अट्ठाईसवीं को लास वेगास से डेट्रॉइट तक की उड़ानें दिखाएं EOS\t	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number atis_flight
BOS सेंट से कौन सी एयरलाइंस उड़ान भरती हैं?  EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS मैं ऐसी उड़ान लेना चाहूंगा जो बोस्टन से शुरू हो और डलास फोर्ट वर्थ पर उतरे लेकिन मैं फिलाडेल्फिया में रुकना चाहूंगा EOS\t	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name atis_flight
BOS मुझे सेंट से यूनाइटेड एयरलाइंस पर कल की जल्द से जल्द उड़ान दीजिए।  EOS\t	O O O B-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS डेनवर से मिल्वौकी तक अमेरिकी एयरलाइंस EOS\t	B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS दोपहर के समय बोस्टन से वाशिंगटन के लिए कौन सी उड़ान उपलब्ध है बोस्टन से वाशिंगटन के लिए दोपहर के समय कौन सी उड़ान उपलब्ध है EOS\t	O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे फिलाडेल्फिया से बोस्टन के लिए वापसी की उड़ान चाहिए EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS डेनवर में रुकने वाली उत्तर पश्चिमी उड़ानें EOS\t	B-airline_name O O O O B-stoploc.city_name atis_flight
BOS बाल्टीमोर से डलास तक प्रथम श्रेणी का किराया क्या है? EOS\t	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS क्या आप कृपया मुझे बता सकते हैं कि टोरंटो से सैन डिएगो तक कौन सी एयरलाइनें उड़ान भरती हैं EOS\t	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS तीस जून को मेम्फिस से सिनसिनाटी के लिए सबसे पहली उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मुझे डलास से ह्यूस्टन तक की नॉनस्टॉप उड़ानें दिखाओ EOS\t	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे डलास से बाल्टीमोर तक का किफायती किराया दिखाओ EOS\t	O O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मैं बीस अगस्त को वाशिंगटन से पिट्सबर्ग के लिए कॉन्टिनेंटल एयरलाइंस की उड़ान चाहूंगा EOS\t	O O O O O O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या आपके पास बुधवार को डेनवर से वाशिंगटन डीसी तक नॉनस्टॉप उड़ान है? EOS\t	O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop atis_flight
BOS ईडब्ल्यूआर क्या है? EOS\t	O O B-airport_code atis_abbreviation
BOS मैं बोस्टन से सैन फ्रांसिस्को तक उड़ान भरना चाहता हूं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS सत्ताईस अगस्त को शाम को कौन सी फ्लाइट डलास से अटलांटा के लिए रवाना होगी EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day atis_flight
BOS बाल्टीमोर और नेवार्क के बीच बुधवार सुबह की उड़ानें EOS\t	B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे डलास से पिट्सबर्ग तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS रात 11 बजे के बाद कॉन्टिनेंटल पर शिकागो में कौन सी उड़ानें आ रही हैं EOS\t	O O O O O O B-toloc.city_name O B-airline_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS बोस्टन और सैन फ्रांसिस्को के बीच डेल्टा का सबसे कम लागत वाला किराया क्या है? EOS\t	O O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS मैं बोस्टन से सैन फ्रांसिस्को जाना चाहूँगा EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS पिट्सबर्ग से फिलाडेल्फिया तक का राउंड ट्रिप हवाई किराया 1000 डॉलर से कम है EOS\t	B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS क्या किसी एयरलाइन के पास पिट्सबर्ग और बाल्टीमोर के बीच जेट उड़ान है? EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS एमसीओ क्या है? EOS\t	O O B-airport_code atis_abbreviation
BOS मुझे अगले शनिवार को न्यूआर्क न्यू जर्सी से ओंटारियो इंटरनेशनल तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS मैं डलास फोर्ट वर्थ से फिलाडेल्फिया के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे न्यूयॉर्क शहर और लास वेगास के बीच उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS अटलांटा हवाई अड्डे से अटलांटा शहर तक पहुँचने में कितना समय लगता है? EOS\t	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name atis_distance
BOS मुझे डलास से बाल्टीमोर तक सभी प्रथम श्रेणी कीमतें दिखाओ EOS\t	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS क्या डलास फोर्ट वर्थ में स्टॉपओवर के साथ सैन फ्रांसिस्को और बोस्टन के बीच कोई उड़ान है? EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name atis_flight
BOS मुझे सैन फ्रांसिस्को के लिए जमीनी परिवहन जानकारी दिखाओ EOS\t	O O O O O O B-city_name I-city_name atis_ground_service
BOS बाल्टीमोर से सैन फ्रांसिस्को के लिए एक सस्ती उड़ान की आवश्यकता है EOS\t	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS बोस्टन से ओकलैंड के लिए नाश्ता परोसने वाली जल्द से जल्द उड़ान खोजें EOS\t	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description atis_flight
BOS मैं फिलाडेल्फिया से डलास से सैन फ्रांसिस्को तक उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मुझे अटलांटा से बाल्टीमोर तक की सभी सीधी उड़ानें दिखाओ EOS\t	O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ह्यूस्टन से सैन जोस के लिए नवीनतम उड़ान EOS\t	B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS न्यूयॉर्क शहर से लास वेगास के लिए रविवार को आने वाली कौन सी उड़ानें हैं? EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name atis_flight
BOS मैं वाशिंगटन डीसी से डेनवर कोलोराडो तक यूनाइटेड एयरलाइंस से उड़ान भरना चाहता हूं EOS\t	O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name atis_flight
BOS ठीक है, मुझे डलास और बाल्टीमोर के बीच यूनाइटेड पर इकोनॉमी उड़ानें देखनी हैं EOS\t	O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया मुझे बुधवार की सुबह नाश्ता परोसने वाली पिट्सबर्ग से अटलांटा तक की उड़ान दिखाएँ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description atis_flight
BOS मुझे बाल्टीमोर छोड़ने वाली और अटलांटा पहुंचने वाली उड़ानों के बारे में जानकारी चाहिए EOS\t	O O O O O O B-fromloc.city_name O O O B-toloc.city_name atis_flight
BOS मुझे सैन फ्रांसिस्को से पिट्सबर्ग तक की सभी उड़ानें दिखाएँ जो कल सुबह 9 बजे से पहले पिट्सबर्ग पहुँचेंगी EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative atis_flight
BOS मुझे डलास से सैन फ्रांसिस्को तक का किराया दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS कृपया मुझे बाल्टीमोर से फिलाडेल्फिया के लिए उड़ानें उपलब्ध कराएं EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS पहली जनवरी 1992 को बोस्टन से सैन फ्रांसिस्को के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS डेनवर से बाल्टीमोर के लिए सुबह 10 बजे से दोपहर 2 बजे के बीच उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS अटलांटा में जमीनी परिवहन क्या है? EOS\t	O O O O O O B-city_name atis_ground_service
BOS बाल्टीमोर वाशिंगटन से ओकलैंड के लिए नॉनस्टॉप उड़ानें सूचीबद्ध करें जो शाम 445 और 515 के बीच आती हैं EOS\t	O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time atis_flight
BOS शुक्रवार को शाम 6 बजे से 8 बजे के बीच बाल्टीमोर से सैन फ्रांसिस्को के लिए उड़ानें दिखाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name atis_flight
BOS मैं डेनवर से सैन फ्रांसिस्को के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS डेनवर से बोस्टन के लिए कोच का किराया केवल कार्यदिवसों का है EOS\t	B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS दोपहर 3 बजे के बाद नेवार्क से ला तक जाने वाली उड़ानों के लिए कोच किराया क्या है? EOS\t	O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_airfare
BOS फिलाडेल्फिया से टोरंटो तक EOS\t	O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं फिलाडेल्फिया से पिट्सबर्ग के लिए एक नॉनस्टॉप उड़ान चाहूंगा EOS\t	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मिनियापोलिस से इंडियानापोलिस के लिए दोपहर को रवाना होने वाली उड़ानों के लिए मेरे पास क्या विकल्प हैं? EOS\t	O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS 8 बजे से पहले बोस्टन से अटलांटा के लिए उड़ान भरने वाली सबसे सस्ती उड़ान कौन सी है? EOS\t	O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time atis_flight
BOS बोस्टन और ओकलैंड के बीच संभावित राउंड ट्रिप दैनिक उड़ानों की सूची बनाएं EOS\t	O O B-round_trip I-round_trip B-flight_days O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया मुझे बाल्टीमोर से फिलाडेल्फिया तक आने-जाने का किराया बताएं EOS\t	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS लॉन्ग बीच से सेंट तक उड़ान खोजें।  EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name atis_flight
BOS कृपया सेंट से उड़ानें सूचीबद्ध करें।  EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O B-meal atis_flight
BOS 4 जुलाई को डलास से बाल्टीमोर आने वाली उड़ान के लिए सबसे कम लागत वाला हवाई किराया क्या उपलब्ध है EOS\t	O O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number atis_airfare
BOS क्या आप मुझे बाल्टीमोर से डलास तक की उड़ानें दिखा सकते हैं EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे फिलाडेल्फिया से डलास की उड़ान के लिए शनिवार को उड़ान की जानकारी चाहिए EOS\t	O O O O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे डेनवर से पिट्सबर्ग और फिर अटलांटा जाने वाली उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name atis_flight
BOS बोस्टन से फिलाडेल्फिया जाने वाली आपकी सबसे पहली उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name atis_flight
BOS डेनवर से अटलांटा के लिए सबसे कम खर्चीली उड़ानें कौन सी हैं? EOS\t	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS जब मैं डलास पहुंचूंगा तो वहां किस प्रकार का जमीनी परिवहन होगा EOS\t	O O O O O O O O O O O B-city_name atis_ground_service
BOS मुझे गुरुवार की सुबह अटलांटा से वाशिंगटन जाने वाली उड़ानें दिखाओ EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS फिलाडेल्फिया से सैन फ्रांसिस्को के लिए डेल्टा पर उड़ान खोजें EOS\t	O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS क्या आपके पास बोस्टन से डलास किले के लिए फिलाडेल्फिया में रुकने लायक कोई उड़ान है? EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS एफएफ क्या है? EOS\t	O O B-airline_code atis_abbreviation
